"","Data","deszcz","snieg"
"1","2014-07-28",1.4,0
"2","2014-07-29",0,0
"3","2014-07-30",0,0
"4","2014-07-31",0,0
"5","2014-08-01",3.8,0
"6","2014-08-02",0,0
"7","2014-08-03",0,0
"8","2014-08-04",10.2,0
"9","2014-08-05",0,0
"10","2014-08-06",0,0
"11","2014-08-07",6.2,0
"12","2014-08-08",1.8,0
"13","2014-08-09",0,0
"14","2014-08-10",0,0
"15","2014-08-11",4.6,0
"16","2014-08-12",0,0
"17","2014-08-13",19.8,0
"18","2014-08-14",0,0
"19","2014-08-15",0,0
"20","2014-08-16",2,0
"21","2014-08-17",0,0
"22","2014-08-18",0,0
"23","2014-08-19",0,0
"24","2014-08-20",0,0
"25","2014-08-21",0.4,0
"26","2014-08-22",0,0
"27","2014-08-23",0,0
"28","2014-08-24",5.2,0
"29","2014-08-25",0.4,0
"30","2014-08-26",3.4,0
"31","2014-08-27",5.2,0
"32","2014-08-28",4,0
"33","2014-08-29",1,0
"34","2014-08-30",0,0
"35","2014-08-31",0,0
"36","2014-09-01",0,0
"37","2014-09-02",0,0
"38","2014-09-03",0,0
"39","2014-09-04",0,0
"40","2014-09-05",0,0
"41","2014-09-06",0,0
"42","2014-09-07",0,0
"43","2014-09-08",1.6,0
"44","2014-09-09",0,0
"45","2014-09-10",0,0
"46","2014-09-11",0.4,0
"47","2014-09-12",0,0
"48","2014-09-13",0,0
"49","2014-09-14",0,0
"50","2014-09-15",0,0
"51","2014-09-16",0,0
"52","2014-09-17",0,0
"53","2014-09-18",0,0
"54","2014-09-19",0.6,0
"55","2014-09-20",0,0
"56","2014-09-21",1,0
"57","2014-09-22",1.4,0
"58","2014-09-23",1.2,0
"59","2014-09-24",0,0
"60","2014-09-25",0.8,0
"61","2014-09-26",0.6,0
"62","2014-09-27",0,0
"63","2014-09-28",0,0
"64","2014-09-29",0,0
"65","2014-09-30",0,0
"66","2014-10-01",0.8,0
"67","2014-10-02",0,0
"68","2014-10-03",0,0
"69","2014-10-04",0,0
"70","2014-10-05",0,0
"71","2014-10-06",0,0
"72","2014-10-07",0,0
"73","2014-10-08",0,0
"74","2014-10-09",0,0
"75","2014-10-10",0,0
"76","2014-10-11",0,0
"77","2014-10-12",0,0
"78","2014-10-13",0,0
"79","2014-10-14",0.2,0
"80","2014-10-15",0.6,0
"81","2014-10-16",0.2,0
"82","2014-10-17",0.2,0
"83","2014-10-18",0,0
"84","2014-10-19",0,0
"85","2014-10-20",1.5,0
"86","2014-10-21",1.5,0
"87","2014-10-22",0.8,0
"88","2014-10-23",0,0
"89","2014-10-24",0,0
"90","2014-10-25",0,0
"91","2014-10-26",0,0
"92","2014-10-27",0,0
"93","2014-10-28",0,0
"94","2014-10-29",0,0
"95","2014-10-30",0,0
"96","2014-10-31",0,0
"97","2014-11-01",0,0
"98","2014-11-02",0,0
"99","2014-11-03",0,0
"100","2014-11-04",0,0
"101","2014-11-05",0,0
"102","2014-11-06",0.5,0
"103","2014-11-07",1.7,0
"104","2014-11-08",4.7,0
"105","2014-11-09",0.1,0
"106","2014-11-10",0,0
"107","2014-11-11",0,0
"108","2014-11-12",0,0
"109","2014-11-13",0,0
"110","2014-11-14",0,0
"111","2014-11-15",0,0
"112","2014-11-16",0.6,0
"113","2014-11-17",1.2,0
"114","2014-11-18",2.1,0
"115","2014-11-19",0,0.3
"116","2014-11-20",0,0
"117","2014-11-21",0,0
"118","2014-11-22",0,0
"119","2014-11-23",0,0
"120","2014-11-24",0,4.3
"121","2014-11-25",0.1,0
"122","2014-11-26",0,0
"123","2014-11-27",0,0
"124","2014-11-28",0,0
"125","2014-11-29",0,0
"126","2014-11-30",0,0
"127","2014-12-01",0,0
"128","2014-12-02",0,0
"129","2014-12-03",0,0
"130","2014-12-04",0,0
"131","2014-12-05",0,0
"132","2014-12-06",0,0
"133","2014-12-07",0.1,0
"134","2014-12-08",0,0.1
"135","2014-12-09",0,0
"136","2014-12-10",0,0
"137","2014-12-11",0.6,0
"138","2014-12-12",0,0
"139","2014-12-13",0.6,0
"140","2014-12-14",4.9,0
"141","2014-12-15",0,0
"142","2014-12-16",4.8,0
"143","2014-12-17",0,0
"144","2014-12-18",3.2,0
"145","2014-12-19",4.2,0
"146","2014-12-20",1.3,0
"147","2014-12-21",6.9,0
"148","2014-12-22",23.2,0
"149","2014-12-23",19.4,0
"150","2014-12-24",4.2,0
"151","2014-12-25",0,8.1
"152","2014-12-26",0,0
"153","2014-12-27",0,0
"154","2014-12-28",0,0
"155","2014-12-29",0,0
"156","2014-12-30",0,0
"157","2014-12-31",0,0.2
"158","2015-01-01",0,0
"159","2015-01-02",0.9,0
"160","2015-01-03",0,1.2
"161","2015-01-04",0,0.3
"162","2015-01-05",0,0.8
"163","2015-01-06",0,0
"164","2015-01-07",0,0.5
"165","2015-01-08",0,4.5
"166","2015-01-09",4.1,0
"167","2015-01-10",5,0
"168","2015-01-11",0,0
"169","2015-01-12",0.9,0
"170","2015-01-13",0.4,0
"171","2015-01-14",1,0
"172","2015-01-15",0.1,0
"173","2015-01-16",0,0
"174","2015-01-17",1.1,0
"175","2015-01-18",0,0
"176","2015-01-19",0,0.6
"177","2015-01-20",0,0.3
"178","2015-01-21",0,0
"179","2015-01-22",0,5.3
"180","2015-01-23",0,0.3
"181","2015-01-24",0,1.7
"182","2015-01-25",0,1.2
"183","2015-01-26",0,0
"184","2015-01-27",0,2.6
"185","2015-01-28",0,0.2
"186","2015-01-29",0,0
"187","2015-01-30",0,5.3
"188","2015-01-31",0,0.1
"189","2015-02-01",0,0
"190","2015-02-02",0,0
"191","2015-02-03",0,0
"192","2015-02-04",0,1
"193","2015-02-05",0,0.1
"194","2015-02-06",0,0
"195","2015-02-07",0,0.7
"196","2015-02-08",0,0.2
"197","2015-02-09",0,2
"198","2015-02-10",0.1,0
"199","2015-02-11",0,0
"200","2015-02-12",0,0
"201","2015-02-13",0,0
"202","2015-02-14",0,0
"203","2015-02-15",0,0
"204","2015-02-16",0,0
"205","2015-02-17",0,0
"206","2015-02-18",0.6,0
"207","2015-02-19",0.3,0
"208","2015-02-20",0,0
"209","2015-02-21",0,0
"210","2015-02-22",0,0
"211","2015-02-23",0,0
"212","2015-02-24",0,0
"213","2015-02-25",1.3,0
"214","2015-02-26",0,0
"215","2015-02-27",0,0
"216","2015-02-28",0,0
"217","2015-03-01",0,0
"218","2015-03-02",1.9,0
"219","2015-03-03",0,1.7
"220","2015-03-04",0,1.2
"221","2015-03-05",0,0.9
"222","2015-03-06",0.3,0
"223","2015-03-07",0.1,0
"224","2015-03-08",0,0
"225","2015-03-09",0,0
"226","2015-03-10",0,0
"227","2015-03-11",0,0
"228","2015-03-12",0,0
"229","2015-03-13",2.8,0
"230","2015-03-14",2.1,0
"231","2015-03-15",0,0
"232","2015-03-16",0,0
"233","2015-03-17",0,0
"234","2015-03-18",0,0
"235","2015-03-19",0,0
"236","2015-03-20",0,0
"237","2015-03-21",0,0.5
"238","2015-03-22",0,0
"239","2015-03-23",0,0
"240","2015-03-24",0,0
"241","2015-03-25",0,0
"242","2015-03-26",0.3,0
"243","2015-03-27",3.2,0
"244","2015-03-28",0.3,0
"245","2015-03-29",3.7,0
"246","2015-03-30",1,0
"247","2015-03-31",0,10.2
"248","2015-04-01",0,3.1
"249","2015-04-02",0,0.6
"250","2015-04-03",0,3.6
"251","2015-04-04",0,0.7
"252","2015-04-05",0,4.7
"253","2015-04-06",0,0
"254","2015-04-07",0.1,0
"255","2015-04-08",0,0
"256","2015-04-09",0,0
"257","2015-04-10",0,0
"258","2015-04-11",0,0
"259","2015-04-12",0,0
"260","2015-04-13",1.3,0
"261","2015-04-14",0.8,0
"262","2015-04-15",0,0
"263","2015-04-16",0,0
"264","2015-04-17",0,0
"265","2015-04-18",0,0
"266","2015-04-19",0,0
"267","2015-04-20",0,0
"268","2015-04-21",0,0
"269","2015-04-22",0,0
"270","2015-04-23",0,0
"271","2015-04-24",0,0
"272","2015-04-25",0,0
"273","2015-04-26",6.8,0
"274","2015-04-27",0,0
"275","2015-04-28",13.5,0
"276","2015-04-29",0,0
"277","2015-04-30",0,0
"278","2015-05-01",0.2,0
"279","2015-05-02",0,0
"280","2015-05-03",0,0
"281","2015-05-04",0.2,0
"282","2015-05-05",0.3,0
"283","2015-05-06",16.7,0
"284","2015-05-07",0,0
"285","2015-05-08",0,0
"286","2015-05-09",0.5,0
"287","2015-05-10",2.2,0
"288","2015-05-11",0,0
"289","2015-05-12",0.8,0
"290","2015-05-13",0.3,0
"291","2015-05-14",2.2,0
"292","2015-05-15",0.1,0
"293","2015-05-16",0.1,0
"294","2015-05-17",0,0
"295","2015-05-18",0,0
"296","2015-05-19",3.6,0
"297","2015-05-20",1.5,0
"298","2015-05-21",0,0
"299","2015-05-22",0,0
"300","2015-05-23",0,0
"301","2015-05-24",0,0
"302","2015-05-25",1.3,0
"303","2015-05-26",8.3,0
"304","2015-05-27",0,0
"305","2015-05-28",0,0
"306","2015-05-29",0,0
"307","2015-05-30",0.3,0
"308","2015-05-31",0,0
"309","2015-06-01",0,0
"310","2015-06-02",0,0
"311","2015-06-03",0,0
"312","2015-06-04",0,0
"313","2015-06-05",0,0
"314","2015-06-06",0,0
"315","2015-06-07",0,0
"316","2015-06-08",0,0
"317","2015-06-09",0.5,0
"318","2015-06-10",0,0
"319","2015-06-11",0,0
"320","2015-06-12",5.1,0
"321","2015-06-13",4.1,0
"322","2015-06-14",0.8,0
"323","2015-06-15",0,0
"324","2015-06-16",0,0
"325","2015-06-17",0,0
"326","2015-06-18",1.8,0
"327","2015-06-19",0,0
"328","2015-06-20",0.7,0
"329","2015-06-21",0,0
"330","2015-06-22",0.7,0
"331","2015-06-23",3.2,0
"332","2015-06-24",0,0
"333","2015-06-25",0,0
"334","2015-06-26",1.5,0
"335","2015-06-27",0,0
"336","2015-06-28",0.1,0
"337","2015-06-29",0.6,0
"338","2015-06-30",0.1,0
"339","2015-07-01",0,0
"340","2015-07-02",0,0
"341","2015-07-03",0,0
"342","2015-07-04",0,0
"343","2015-07-05",0,0
"344","2015-07-06",1,0
"345","2015-07-07",6.9,0
"346","2015-07-08",15.3,0
"347","2015-07-09",5.2,0
"348","2015-07-10",0.3,0
"349","2015-07-11",0,0
"350","2015-07-12",0,0
"351","2015-07-13",2.5,0
"352","2015-07-14",0,0
"353","2015-07-15",0,0
"354","2015-07-16",0,0
"355","2015-07-17",0,0
"356","2015-07-18",1.9,0
"357","2015-07-19",14.5,0
"358","2015-07-20",0,0
"359","2015-07-21",0,0
"360","2015-07-22",0,0
"361","2015-07-23",0,0
"362","2015-07-24",0,0
"363","2015-07-25",10,0
"364","2015-07-26",0,0
"365","2015-07-27",0,0
"366","2015-07-28",0.2,0
"367","2015-07-29",1.2,0
"368","2015-07-30",0,0
"369","2015-07-31",0,0
"370","2015-08-01",0,0
"371","2015-08-02",0,0
"372","2015-08-03",0,0
"373","2015-08-04",0,0
"374","2015-08-05",0,0
"375","2015-08-06",0,0
"376","2015-08-07",0,0
"377","2015-08-08",0,0
"378","2015-08-09",0,0
"379","2015-08-10",0,0
"380","2015-08-11",0,0
"381","2015-08-12",0,0
"382","2015-08-13",0,0
"383","2015-08-14",0,0
"384","2015-08-15",1.6,0
"385","2015-08-16",0,0
"386","2015-08-17",0,0
"387","2015-08-18",0,0
"388","2015-08-19",0,0
"389","2015-08-20",0,0
"390","2015-08-21",0.4,0
"391","2015-08-22",0,0
"392","2015-08-23",0,0
"393","2015-08-24",0,0
"394","2015-08-25",6.4,0
"395","2015-08-26",0,0
"396","2015-08-27",0,0
"397","2015-08-28",0,0
"398","2015-08-29",0,0
"399","2015-08-30",0,0
"400","2015-08-31",0,0
"401","2015-09-01",0,0
"402","2015-09-02",0,0
"403","2015-09-03",0.5,0
"404","2015-09-04",4.5,0
"405","2015-09-05",0,0
"406","2015-09-06",11,0
"407","2015-09-07",6.8,0
"408","2015-09-08",1.8,0
"409","2015-09-09",0,0
"410","2015-09-10",0,0
"411","2015-09-11",2.1,0
"412","2015-09-12",1,0
"413","2015-09-13",0,0
"414","2015-09-14",2.4,0
"415","2015-09-15",10.9,0
"416","2015-09-16",0,0
"417","2015-09-17",0,0
"418","2015-09-18",0.4,0
"419","2015-09-19",0,0
"420","2015-09-20",0,0
"421","2015-09-21",0,0
"422","2015-09-22",0,0
"423","2015-09-23",0,0
"424","2015-09-24",2.3,0
"425","2015-09-25",11.7,0
"426","2015-09-26",3,0
"427","2015-09-27",0,0
"428","2015-09-28",0,0
"429","2015-09-29",0,0
"430","2015-09-30",0,0
"431","2015-10-01",0,0
"432","2015-10-02",0,0
"433","2015-10-03",0,0
"434","2015-10-04",0,0
"435","2015-10-05",0,0
"436","2015-10-06",0,0
"437","2015-10-07",0,0
"438","2015-10-08",0,0
"439","2015-10-09",0,0
"440","2015-10-10",0,0
"441","2015-10-11",0,0
"442","2015-10-12",4.3,0
"443","2015-10-13",0.4,0
"444","2015-10-14",0,0
"445","2015-10-15",2.3,0
"446","2015-10-16",2.4,0
"447","2015-10-17",17.7,0
"448","2015-10-18",9.9,0
"449","2015-10-19",0,0
"450","2015-10-20",0.3,0
"451","2015-10-21",1.5,0
"452","2015-10-22",0.7,0
"453","2015-10-23",0,0
"454","2015-10-24",0,0
"455","2015-10-25",0.3,0
"456","2015-10-26",0,0
"457","2015-10-27",0,0
"458","2015-10-28",0,0
"459","2015-10-29",0,0
"460","2015-10-30",0,0
"461","2015-10-31",0,0
"462","2015-11-01",0,0
"463","2015-11-02",0,0
"464","2015-11-03",0,0
"465","2015-11-04",0,0
"466","2015-11-05",0,0
"467","2015-11-06",1.3,0
"468","2015-11-07",3.2,0
"469","2015-11-08",0,0
"470","2015-11-09",6.3,0
"471","2015-11-10",1.9,0
"472","2015-11-11",1.6,0
"473","2015-11-12",0,0
"474","2015-11-13",3.9,0
"475","2015-11-14",0,0
"476","2015-11-15",4.2,0
"477","2015-11-16",0.4,0
"478","2015-11-17",4.8,0
"479","2015-11-18",9.8,0
"480","2015-11-19",5.8,0
"481","2015-11-20",1.4,0
"482","2015-11-21",2.3,0
"483","2015-11-22",0,0
"484","2015-11-23",0,0
"485","2015-11-24",0,0
"486","2015-11-25",0,0
"487","2015-11-26",0,0
"488","2015-11-27",0,0
"489","2015-11-28",0,0.1
"490","2015-11-29",1.2,0
"491","2015-11-30",0,4.5
"492","2015-12-01",0,2.5
"493","2015-12-02",0.5,0
"494","2015-12-03",0,0
"495","2015-12-04",0.1,0
"496","2015-12-05",0,0
"497","2015-12-06",0,0
"498","2015-12-07",0,0
"499","2015-12-08",0,0
"500","2015-12-09",0.2,0
"501","2015-12-10",0,0
"502","2015-12-11",0.7,0
"503","2015-12-12",0.3,0
"504","2015-12-13",5.4,0
"505","2015-12-14",0,0
"506","2015-12-15",0,1.7
"507","2015-12-16",0,0
"508","2015-12-17",0.9,0
"509","2015-12-18",0,0
"510","2015-12-19",0,0
"511","2015-12-20",0,0
"512","2015-12-21",2.3,0
"513","2015-12-22",0,0
"514","2015-12-23",0,0
"515","2015-12-24",0,0
"516","2015-12-25",0,0
"517","2015-12-26",0,0
"518","2015-12-27",2.2,0
"519","2015-12-28",0,0.5
"520","2015-12-29",0,0
"521","2015-12-30",0,0
"522","2015-12-31",0,0
"523","2016-01-01",0,0
