"Czas";"Data";"Godzina";"temperatura";"zachmurzenie"
2017-05-20 00:00:00;2017-05-20;0;14,8;0
2017-05-20 01:00:00;2017-05-20;1;13,8;0
2017-05-20 02:00:00;2017-05-20;2;13;1
2017-05-20 03:00:00;2017-05-20;3;12,9;1
2017-05-20 04:00:00;2017-05-20;4;14,1;1
2017-05-20 05:00:00;2017-05-20;5;16,7;1
2017-05-20 06:00:00;2017-05-20;6;18,5;1
2017-05-20 07:00:00;2017-05-20;7;21,2;0
2017-05-20 08:00:00;2017-05-20;8;23,2;0
2017-05-20 09:00:00;2017-05-20;9;24,1;0
2017-05-20 10:00:00;2017-05-20;10;24,9;1
2017-05-20 11:00:00;2017-05-20;11;25,8;1
2017-05-20 12:00:00;2017-05-20;12;26,7;1
2017-05-20 13:00:00;2017-05-20;13;26,6;2
2017-05-20 14:00:00;2017-05-20;14;26,7;2
2017-05-20 15:00:00;2017-05-20;15;26,7;4
2017-05-20 16:00:00;2017-05-20;16;25,7;4
2017-05-20 17:00:00;2017-05-20;17;25;3
2017-05-20 18:00:00;2017-05-20;18;21,6;4
2017-05-20 19:00:00;2017-05-20;19;20,8;5
2017-05-20 20:00:00;2017-05-20;20;19,3;6
2017-05-20 21:00:00;2017-05-20;21;17,6;6
2017-05-20 22:00:00;2017-05-20;22;16,2;5
2017-05-20 23:00:00;2017-05-20;23;15,8;5
2017-05-23 00:00:00;2017-05-23;0;15,1;7
2017-05-23 00:00:00;2017-05-23;0;15,1;7
2017-05-23 01:00:00;2017-05-23;1;14,4;5
2017-05-23 01:00:00;2017-05-23;1;14,4;5
2017-05-23 02:00:00;2017-05-23;2;13,8;5
2017-05-23 02:00:00;2017-05-23;2;13,8;5
2017-05-23 03:00:00;2017-05-23;3;13,5;5
2017-05-23 03:00:00;2017-05-23;3;13,5;5
2017-05-23 04:00:00;2017-05-23;4;12,9;5
2017-05-23 04:00:00;2017-05-23;4;12,9;5
2017-05-23 05:00:00;2017-05-23;5;15;6
2017-05-23 05:00:00;2017-05-23;5;15;6
2017-05-23 06:00:00;2017-05-23;6;16,5;4
2017-05-23 06:00:00;2017-05-23;6;16,5;4
2017-05-23 07:00:00;2017-05-23;7;18,3;4
2017-05-23 07:00:00;2017-05-23;7;18,3;4
2017-05-23 08:00:00;2017-05-23;8;19,7;5
2017-05-23 08:00:00;2017-05-23;8;19,7;5
2017-05-23 09:00:00;2017-05-23;9;20,5;6
2017-05-23 09:00:00;2017-05-23;9;20,5;6
2017-05-23 10:00:00;2017-05-23;10;21;6
2017-05-23 10:00:00;2017-05-23;10;21;6
2017-05-23 11:00:00;2017-05-23;11;21,8;6
2017-05-23 11:00:00;2017-05-23;11;21,8;6
2017-05-23 12:00:00;2017-05-23;12;22,2;5
2017-05-23 12:00:00;2017-05-23;12;22,2;5
2017-05-23 13:00:00;2017-05-23;13;21,9;5
2017-05-23 13:00:00;2017-05-23;13;21,9;5
2017-05-23 14:00:00;2017-05-23;14;23,2;5
2017-05-23 14:00:00;2017-05-23;14;23,2;5
2017-05-23 15:00:00;2017-05-23;15;22,1;5
2017-05-23 15:00:00;2017-05-23;15;22,1;5
2017-05-23 16:00:00;2017-05-23;16;21,5;5
2017-05-23 16:00:00;2017-05-23;16;21,5;5
2017-05-23 17:00:00;2017-05-23;17;20,3;4
2017-05-23 17:00:00;2017-05-23;17;20,3;4
2017-05-23 18:00:00;2017-05-23;18;19,1;5
2017-05-23 18:00:00;2017-05-23;18;19,1;5
2017-05-23 19:00:00;2017-05-23;19;17,1;3
2017-05-23 19:00:00;2017-05-23;19;17,1;3
2017-05-23 20:00:00;2017-05-23;20;17,5;4
2017-05-23 20:00:00;2017-05-23;20;17,5;4
2017-05-23 21:00:00;2017-05-23;21;15,7;4
2017-05-23 21:00:00;2017-05-23;21;15,7;4
2017-05-23 22:00:00;2017-05-23;22;13,7;3
2017-05-23 22:00:00;2017-05-23;22;13,7;3
2017-05-23 23:00:00;2017-05-23;23;12,6;3
2017-05-23 23:00:00;2017-05-23;23;12,6;3
2017-05-25 00:00:00;2017-05-25;0;12,8;8
2017-05-25 00:00:00;2017-05-25;0;12,8;8
2017-05-25 01:00:00;2017-05-25;1;12,9;8
2017-05-25 01:00:00;2017-05-25;1;12,9;8
2017-05-25 02:00:00;2017-05-25;2;11,4;7
2017-05-25 02:00:00;2017-05-25;2;11,4;7
2017-05-25 03:00:00;2017-05-25;3;11,1;6
2017-05-25 03:00:00;2017-05-25;3;11,1;6
2017-05-25 04:00:00;2017-05-25;4;10,4;5
2017-05-25 04:00:00;2017-05-25;4;10,4;5
2017-05-25 05:00:00;2017-05-25;5;11,7;2
2017-05-25 05:00:00;2017-05-25;5;11,7;2
2017-05-25 06:00:00;2017-05-25;6;13;2
2017-05-25 06:00:00;2017-05-25;6;13;2
2017-05-25 07:00:00;2017-05-25;7;14,1;2
2017-05-25 07:00:00;2017-05-25;7;14,1;2
2017-05-25 08:00:00;2017-05-25;8;16,1;1
2017-05-25 08:00:00;2017-05-25;8;16,1;1
2017-05-25 09:00:00;2017-05-25;9;17,1;1
2017-05-25 09:00:00;2017-05-25;9;17,1;1
2017-05-25 10:00:00;2017-05-25;10;18,6;2
2017-05-25 10:00:00;2017-05-25;10;18,6;2
2017-05-25 11:00:00;2017-05-25;11;18,9;3
2017-05-25 11:00:00;2017-05-25;11;18,9;3
2017-05-25 12:00:00;2017-05-25;12;18,7;3
2017-05-25 12:00:00;2017-05-25;12;18,7;3
2017-05-25 13:00:00;2017-05-25;13;18,6;4
2017-05-25 13:00:00;2017-05-25;13;18,6;4
2017-05-25 14:00:00;2017-05-25;14;20,3;4
2017-05-25 14:00:00;2017-05-25;14;20,3;4
2017-05-25 15:00:00;2017-05-25;15;19,7;5
2017-05-25 15:00:00;2017-05-25;15;19,7;5
2017-05-25 16:00:00;2017-05-25;16;19,8;5
2017-05-25 16:00:00;2017-05-25;16;19,8;5
2017-05-25 17:00:00;2017-05-25;17;18,6;5
2017-05-25 17:00:00;2017-05-25;17;18,6;5
2017-05-25 18:00:00;2017-05-25;18;17;5
2017-05-25 18:00:00;2017-05-25;18;17;5
2017-05-25 19:00:00;2017-05-25;19;15,6;5
2017-05-25 19:00:00;2017-05-25;19;15,6;5
2017-05-25 20:00:00;2017-05-25;20;14,6;4
2017-05-25 20:00:00;2017-05-25;20;14,6;4
2017-05-25 21:00:00;2017-05-25;21;14,3;2
2017-05-25 21:00:00;2017-05-25;21;14,3;2
2017-05-25 22:00:00;2017-05-25;22;14,2;7
2017-05-25 22:00:00;2017-05-25;22;14,2;7
2017-05-25 23:00:00;2017-05-25;23;13,5;5
2017-05-25 23:00:00;2017-05-25;23;13,5;5
2017-05-27 00:00:00;2017-05-27;0;12,8;1
2017-05-27 00:00:00;2017-05-27;0;12,8;1
2017-05-27 01:00:00;2017-05-27;1;12;0
2017-05-27 01:00:00;2017-05-27;1;12;0
2017-05-27 02:00:00;2017-05-27;2;11,2;1
2017-05-27 02:00:00;2017-05-27;2;11,2;1
2017-05-27 03:00:00;2017-05-27;3;11;1
2017-05-27 03:00:00;2017-05-27;3;11;1
2017-05-27 04:00:00;2017-05-27;4;12,1;1
2017-05-27 04:00:00;2017-05-27;4;12,1;1
2017-05-27 05:00:00;2017-05-27;5;13,2;1
2017-05-27 05:00:00;2017-05-27;5;13,2;1
2017-05-27 06:00:00;2017-05-27;6;14,8;4
2017-05-27 06:00:00;2017-05-27;6;14,8;4
2017-05-27 07:00:00;2017-05-27;7;16,1;4
2017-05-27 07:00:00;2017-05-27;7;16,1;4
2017-05-27 08:00:00;2017-05-27;8;16,8;5
2017-05-27 08:00:00;2017-05-27;8;16,8;5
2017-05-27 09:00:00;2017-05-27;9;18,4;5
2017-05-27 09:00:00;2017-05-27;9;18,4;5
2017-05-27 10:00:00;2017-05-27;10;18,9;5
2017-05-27 10:00:00;2017-05-27;10;18,9;5
2017-05-27 11:00:00;2017-05-27;11;19,9;4
2017-05-27 11:00:00;2017-05-27;11;19,9;4
2017-05-27 12:00:00;2017-05-27;12;20,6;3
2017-05-27 12:00:00;2017-05-27;12;20,6;3
2017-05-27 13:00:00;2017-05-27;13;21,2;4
2017-05-27 13:00:00;2017-05-27;13;21,2;4
2017-05-27 14:00:00;2017-05-27;14;21,3;3
2017-05-27 14:00:00;2017-05-27;14;21,3;3
2017-05-27 15:00:00;2017-05-27;15;21,8;2
2017-05-27 15:00:00;2017-05-27;15;21,8;2
2017-05-27 16:00:00;2017-05-27;16;21,3;2
2017-05-27 16:00:00;2017-05-27;16;21,3;2
2017-05-27 17:00:00;2017-05-27;17;20,7;2
2017-05-27 17:00:00;2017-05-27;17;20,7;2
2017-05-27 18:00:00;2017-05-27;18;19,2;2
2017-05-27 18:00:00;2017-05-27;18;19,2;2
2017-05-27 19:00:00;2017-05-27;19;17,9;2
2017-05-27 19:00:00;2017-05-27;19;17,9;2
2017-05-27 20:00:00;2017-05-27;20;18;2
2017-05-27 20:00:00;2017-05-27;20;18;2
2017-05-27 21:00:00;2017-05-27;21;15,7;2
2017-05-27 21:00:00;2017-05-27;21;15,7;2
2017-05-27 22:00:00;2017-05-27;22;14,3;0
2017-05-27 22:00:00;2017-05-27;22;14,3;0
2017-05-27 23:00:00;2017-05-27;23;12,2;0
2017-05-27 23:00:00;2017-05-27;23;12,2;0
2017-05-30 00:00:00;2017-05-30;0;17,1;5
2017-05-30 01:00:00;2017-05-30;1;15,8;3
2017-05-30 02:00:00;2017-05-30;2;14,9;2
2017-05-30 03:00:00;2017-05-30;3;14,4;2
2017-05-30 04:00:00;2017-05-30;4;16;3
2017-05-30 05:00:00;2017-05-30;5;17,1;4
2017-05-30 06:00:00;2017-05-30;6;17,8;3
2017-05-30 07:00:00;2017-05-30;7;19,2;2
2017-05-30 08:00:00;2017-05-30;8;20,4;3
2017-05-30 09:00:00;2017-05-30;9;22;6
2017-05-30 10:00:00;2017-05-30;10;22,4;5
2017-05-30 11:00:00;2017-05-30;11;23,7;4
2017-05-30 12:00:00;2017-05-30;12;24,3;3
2017-05-30 13:00:00;2017-05-30;13;25,3;2
2017-05-30 14:00:00;2017-05-30;14;25,6;2
2017-05-30 15:00:00;2017-05-30;15;25,7;3
2017-05-30 16:00:00;2017-05-30;16;24,9;5
2017-05-30 17:00:00;2017-05-30;17;23,8;6
2017-05-30 18:00:00;2017-05-30;18;22,3;7
2017-05-30 19:00:00;2017-05-30;19;21,7;7
2017-05-30 20:00:00;2017-05-30;20;21,5;7
2017-05-30 21:00:00;2017-05-30;21;20,8;6
2017-05-30 22:00:00;2017-05-30;22;20;6
2017-05-30 23:00:00;2017-05-30;23;20;7
2017-06-01 00:00:00;2017-06-01;0;12,8;0
2017-06-01 01:00:00;2017-06-01;1;11,4;2
2017-06-01 02:00:00;2017-06-01;2;11,3;3
2017-06-01 03:00:00;2017-06-01;3;11,3;2
2017-06-01 04:00:00;2017-06-01;4;12,3;1
2017-06-01 05:00:00;2017-06-01;5;12,5;3
2017-06-01 06:00:00;2017-06-01;6;13,2;6
2017-06-01 07:00:00;2017-06-01;7;13,6;7
2017-06-01 08:00:00;2017-06-01;8;14,4;6
2017-06-01 09:00:00;2017-06-01;9;14,6;6
2017-06-01 10:00:00;2017-06-01;10;15,4;6
2017-06-01 11:00:00;2017-06-01;11;15,8;6
2017-06-01 12:00:00;2017-06-01;12;16,4;6
2017-06-01 13:00:00;2017-06-01;13;16;7
2017-06-01 14:00:00;2017-06-01;14;16,1;7
2017-06-01 15:00:00;2017-06-01;15;16,6;6
2017-06-01 16:00:00;2017-06-01;16;15,9;5
2017-06-01 17:00:00;2017-06-01;17;16;7
2017-06-01 18:00:00;2017-06-01;18;15,5;6
2017-06-01 19:00:00;2017-06-01;19;14,9;6
2017-06-01 20:00:00;2017-06-01;20;14,1;3
2017-06-01 21:00:00;2017-06-01;21;12,4;3
2017-06-01 22:00:00;2017-06-01;22;12,4;3
2017-06-01 23:00:00;2017-06-01;23;11,9;2
2017-06-07 00:00:00;2017-06-07;0;19,3;6
2017-06-07 01:00:00;2017-06-07;1;18,6;6
2017-06-07 02:00:00;2017-06-07;2;18,4;7
2017-06-07 03:00:00;2017-06-07;3;18,7;8
2017-06-07 04:00:00;2017-06-07;4;16,1;8
2017-06-07 05:00:00;2017-06-07;5;14,1;7
2017-06-07 06:00:00;2017-06-07;6;15,4;6
2017-06-07 07:00:00;2017-06-07;7;17;5
2017-06-07 08:00:00;2017-06-07;8;18,3;6
2017-06-07 09:00:00;2017-06-07;9;17,8;7
2017-06-07 10:00:00;2017-06-07;10;19,4;7
2017-06-07 11:00:00;2017-06-07;11;20;6
2017-06-07 12:00:00;2017-06-07;12;20,6;6
2017-06-07 13:00:00;2017-06-07;13;20,3;6
2017-06-07 14:00:00;2017-06-07;14;20,2;5
2017-06-07 15:00:00;2017-06-07;15;20,8;4
2017-06-07 16:00:00;2017-06-07;16;20,5;2
2017-06-07 17:00:00;2017-06-07;17;19,6;2
2017-06-07 18:00:00;2017-06-07;18;17,5;2
2017-06-07 19:00:00;2017-06-07;19;16,5;2
2017-06-07 20:00:00;2017-06-07;20;15,2;1
2017-06-07 21:00:00;2017-06-07;21;13,5;1
2017-06-07 22:00:00;2017-06-07;22;11,1;5
2017-06-07 23:00:00;2017-06-07;23;12,1;3
2017-06-08 00:00:00;2017-06-08;0;12,4;0
2017-06-08 01:00:00;2017-06-08;1;8,7;0
2017-06-08 02:00:00;2017-06-08;2;8,6;0
2017-06-08 03:00:00;2017-06-08;3;8,9;0
2017-06-08 04:00:00;2017-06-08;4;11,7;1
2017-06-08 05:00:00;2017-06-08;5;13,9;1
2017-06-08 06:00:00;2017-06-08;6;16,1;1
2017-06-08 07:00:00;2017-06-08;7;17,5;1
2017-06-08 08:00:00;2017-06-08;8;18,3;2
2017-06-08 09:00:00;2017-06-08;9;19;2
2017-06-08 10:00:00;2017-06-08;10;19,7;3
2017-06-08 11:00:00;2017-06-08;11;20;2
2017-06-08 12:00:00;2017-06-08;12;20;3
2017-06-08 13:00:00;2017-06-08;13;20,2;4
2017-06-08 14:00:00;2017-06-08;14;20,3;4
2017-06-08 15:00:00;2017-06-08;15;20;3
2017-06-08 16:00:00;2017-06-08;16;19,6;5
2017-06-08 17:00:00;2017-06-08;17;18,9;6
2017-06-08 18:00:00;2017-06-08;18;18,5;3
2017-06-08 19:00:00;2017-06-08;19;16,9;2
2017-06-08 20:00:00;2017-06-08;20;15,5;2
2017-06-08 21:00:00;2017-06-08;21;15,5;2
2017-06-08 22:00:00;2017-06-08;22;12,8;1
2017-06-08 23:00:00;2017-06-08;23;12;1
